Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
9/7/2020,2/1/2020,9/6/2020,IL,Sepsis,Sepsis,A40-A41,25-34,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IL,Sepsis,Sepsis,A40-A41,35-44,15,
9/7/2020,2/1/2020,9/6/2020,IL,Sepsis,Sepsis,A40-A41,45-54,25,
9/7/2020,2/1/2020,9/6/2020,IL,Sepsis,Sepsis,A40-A41,55-64,63,
9/7/2020,2/1/2020,9/6/2020,IL,Sepsis,Sepsis,A40-A41,65-74,97,
9/7/2020,2/1/2020,9/6/2020,IL,Sepsis,Sepsis,A40-A41,75-84,120,
9/7/2020,2/1/2020,9/6/2020,IL,Sepsis,Sepsis,A40-A41,85+,113,
9/7/2020,2/1/2020,9/6/2020,IL,Sepsis,Sepsis,A40-A41,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IL,Sepsis,Sepsis,A40-A41,All ages,437,
9/7/2020,2/1/2020,9/6/2020,IL,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,0,
9/7/2020,2/1/2020,9/6/2020,IL,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IL,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IL,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,16,
9/7/2020,2/1/2020,9/6/2020,IL,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,62,
9/7/2020,2/1/2020,9/6/2020,IL,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,85,
9/7/2020,2/1/2020,9/6/2020,IL,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,110,
9/7/2020,2/1/2020,9/6/2020,IL,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,66,
9/7/2020,2/1/2020,9/6/2020,IL,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IL,Malignant neoplasms,Malignant neoplasms,C00-C97,All ages,349,
9/7/2020,2/1/2020,9/6/2020,IL,Diabetes,Diabetes,E10-E14,0-24,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IL,Diabetes,Diabetes,E10-E14,25-34,15,
9/7/2020,2/1/2020,9/6/2020,IL,Diabetes,Diabetes,E10-E14,35-44,59,
9/7/2020,2/1/2020,9/6/2020,IL,Diabetes,Diabetes,E10-E14,45-54,151,
9/7/2020,2/1/2020,9/6/2020,IL,Diabetes,Diabetes,E10-E14,55-64,374,
9/7/2020,2/1/2020,9/6/2020,IL,Diabetes,Diabetes,E10-E14,65-74,611,
9/7/2020,2/1/2020,9/6/2020,IL,Diabetes,Diabetes,E10-E14,75-84,545,
9/7/2020,2/1/2020,9/6/2020,IL,Diabetes,Diabetes,E10-E14,85+,433,
9/7/2020,2/1/2020,9/6/2020,IL,Diabetes,Diabetes,E10-E14,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IL,Diabetes,Diabetes,E10-E14,All ages,"2,192",
9/7/2020,2/1/2020,9/6/2020,IL,Obesity,Obesity,E65-E68,0-24,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IL,Obesity,Obesity,E65-E68,25-34,26,
9/7/2020,2/1/2020,9/6/2020,IL,Obesity,Obesity,E65-E68,35-44,52,
9/7/2020,2/1/2020,9/6/2020,IL,Obesity,Obesity,E65-E68,45-54,99,
9/7/2020,2/1/2020,9/6/2020,IL,Obesity,Obesity,E65-E68,55-64,102,
9/7/2020,2/1/2020,9/6/2020,IL,Obesity,Obesity,E65-E68,65-74,110,
9/7/2020,2/1/2020,9/6/2020,IL,Obesity,Obesity,E65-E68,75-84,50,
9/7/2020,2/1/2020,9/6/2020,IL,Obesity,Obesity,E65-E68,85+,20,
9/7/2020,2/1/2020,9/6/2020,IL,Obesity,Obesity,E65-E68,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IL,Obesity,Obesity,E65-E68,All ages,464,
9/7/2020,2/1/2020,9/6/2020,IL,Alzheimer disease,Alzheimer disease,G30,0-24,0,
9/7/2020,2/1/2020,9/6/2020,IL,Alzheimer disease,Alzheimer disease,G30,25-34,0,
9/7/2020,2/1/2020,9/6/2020,IL,Alzheimer disease,Alzheimer disease,G30,35-44,0,
9/7/2020,2/1/2020,9/6/2020,IL,Alzheimer disease,Alzheimer disease,G30,45-54,0,
9/7/2020,2/1/2020,9/6/2020,IL,Alzheimer disease,Alzheimer disease,G30,55-64,0,
9/7/2020,2/1/2020,9/6/2020,IL,Alzheimer disease,Alzheimer disease,G30,65-74,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IL,Alzheimer disease,Alzheimer disease,G30,75-84,56,
9/7/2020,2/1/2020,9/6/2020,IL,Alzheimer disease,Alzheimer disease,G30,85+,126,
9/7/2020,2/1/2020,9/6/2020,IL,Alzheimer disease,Alzheimer disease,G30,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IL,Alzheimer disease,Alzheimer disease,G30,All ages,191,
9/7/2020,2/1/2020,9/6/2020,IL,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,
9/7/2020,2/1/2020,9/6/2020,IL,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,0,
9/7/2020,2/1/2020,9/6/2020,IL,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,0,
9/7/2020,2/1/2020,9/6/2020,IL,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IL,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,11,
9/7/2020,2/1/2020,9/6/2020,IL,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,97,
9/7/2020,2/1/2020,9/6/2020,IL,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,225,
9/7/2020,2/1/2020,9/6/2020,IL,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,455,
9/7/2020,2/1/2020,9/6/2020,IL,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IL,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All ages,789,
9/7/2020,2/1/2020,9/6/2020,IL,Renal failure,Renal failure,N17-N19,0-24,0,
9/7/2020,2/1/2020,9/6/2020,IL,Renal failure,Renal failure,N17-N19,25-34,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IL,Renal failure,Renal failure,N17-N19,35-44,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IL,Renal failure,Renal failure,N17-N19,45-54,15,
9/7/2020,2/1/2020,9/6/2020,IL,Renal failure,Renal failure,N17-N19,55-64,37,
9/7/2020,2/1/2020,9/6/2020,IL,Renal failure,Renal failure,N17-N19,65-74,65,
9/7/2020,2/1/2020,9/6/2020,IL,Renal failure,Renal failure,N17-N19,75-84,82,
9/7/2020,2/1/2020,9/6/2020,IL,Renal failure,Renal failure,N17-N19,85+,92,
9/7/2020,2/1/2020,9/6/2020,IL,Renal failure,Renal failure,N17-N19,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IL,Renal failure,Renal failure,N17-N19,All ages,296,
9/7/2020,2/1/2020,9/6/2020,IL,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IL,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IL,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,13,
9/7/2020,2/1/2020,9/6/2020,IL,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IL,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,22,
9/7/2020,2/1/2020,9/6/2020,IL,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,31,
9/7/2020,2/1/2020,9/6/2020,IL,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,40,
9/7/2020,2/1/2020,9/6/2020,IL,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,55,
9/7/2020,2/1/2020,9/6/2020,IL,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IL,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All ages,176,
9/7/2020,2/1/2020,9/6/2020,IL,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,10,
9/7/2020,2/1/2020,9/6/2020,IL,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,17,
9/7/2020,2/1/2020,9/6/2020,IL,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,60,
9/7/2020,2/1/2020,9/6/2020,IL,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,124,
9/7/2020,2/1/2020,9/6/2020,IL,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,327,
9/7/2020,2/1/2020,9/6/2020,IL,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,582,
9/7/2020,2/1/2020,9/6/2020,IL,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",75-84,626,
9/7/2020,2/1/2020,9/6/2020,IL,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",85+,682,
9/7/2020,2/1/2020,9/6/2020,IL,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IL,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All ages,"2,428",
9/7/2020,2/1/2020,9/6/2020,IL,Coronavirus Disease 2019,COVID-19,U071,0-24,19,
9/7/2020,2/1/2020,9/6/2020,IL,Coronavirus Disease 2019,COVID-19,U071,25-34,64,
9/7/2020,2/1/2020,9/6/2020,IL,Coronavirus Disease 2019,COVID-19,U071,35-44,178,
9/7/2020,2/1/2020,9/6/2020,IL,Coronavirus Disease 2019,COVID-19,U071,45-54,434,
9/7/2020,2/1/2020,9/6/2020,IL,Coronavirus Disease 2019,COVID-19,U071,55-64,936,
9/7/2020,2/1/2020,9/6/2020,IL,Coronavirus Disease 2019,COVID-19,U071,65-74,"1,588",
9/7/2020,2/1/2020,9/6/2020,IL,Coronavirus Disease 2019,COVID-19,U071,75-84,"1,861",
9/7/2020,2/1/2020,9/6/2020,IL,Coronavirus Disease 2019,COVID-19,U071,85+,"2,295",
9/7/2020,2/1/2020,9/6/2020,IL,Coronavirus Disease 2019,COVID-19,U071,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IL,Coronavirus Disease 2019,COVID-19,U071,All ages,"7,375",
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,0,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,16,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,42,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,149,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,292,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,355,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,356,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Influenza and pneumonia,J09-J18,All ages,"1,217",
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,0,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,0,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,31,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,110,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,136,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,137,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All ages,420,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,15,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,68,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,92,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,79,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,56,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Adult respiratory distress syndrome,J80,All ages,319,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory failure,J96,0-24,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory failure,J96,25-34,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory failure,J96,35-44,15,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory failure,J96,45-54,38,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory failure,J96,55-64,135,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory failure,J96,65-74,337,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory failure,J96,75-84,400,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory failure,J96,85+,382,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory failure,J96,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory failure,J96,All ages,"1,312",
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory arrest,R09.2,0-24,0,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory arrest,R09.2,25-34,0,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory arrest,R09.2,35-44,0,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory arrest,R09.2,45-54,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory arrest,R09.2,55-64,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory arrest,R09.2,65-74,20,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory arrest,R09.2,75-84,24,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory arrest,R09.2,85+,20,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Respiratory arrest,R09.2,All ages,77,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,0,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,15,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,44,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,51,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,45,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IN,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All ages,162,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,0,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,14,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,55,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,107,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,142,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Hypertensive diseases,I10-I15,85+,237,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Hypertensive diseases,I10-I15,All ages,558,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,0,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,0,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,31,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,94,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,123,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Ischemic heart disease,I20-I25,85+,127,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Ischemic heart disease,I20-I25,All ages,384,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrest,I46,0-24,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrest,I46,25-34,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrest,I46,35-44,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrest,I46,45-54,18,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrest,I46,55-64,27,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrest,I46,65-74,50,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrest,I46,75-84,42,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrest,I46,85+,54,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrest,I46,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrest,I46,All ages,198,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,0,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,0,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,13,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,53,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,87,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,122,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All ages,282,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Heart failure,I50,0-24,0,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Heart failure,I50,25-34,0,
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Heart failure,I50,35-44,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Heart failure,I50,45-54,,Counts less than 10 suppressed.
9/7/2020,2/1/2020,9/6/2020,IN,Circulatory diseases,Heart failure,I50,55-64,21,
